id,name,label,city_municipality_name,province_id
1012,Barlig,"Barlig, Mountain Province",Barlig,50
1013,Bauko,"Bauko, Mountain Province",Bauko,50
1014,Besao,"Besao, Mountain Province",Besao,50
1015,Bontoc,"Bontoc, Mountain Province",Bontoc,50
1016,Natonin,"Natonin, Mountain Province",Natonin,50
1017,Paracelis,"Paracelis, Mountain Province",Paracelis,50
1018,Sabangan,"Sabangan, Mountain Province",Sabangan,50
1019,Sadanga,"Sadanga, Mountain Province",Sadanga,50
1020,Sagada,"Sagada, Mountain Province",Sagada,50
1021,Tadian,"Tadian, Mountain Province",Tadian,50
592,Aguinaldo,"Aguinaldo, Ifugao",Aguinaldo,33
593,Alfonso Lista (Potia),"Alfonso Lista (Potia), Ifugao",Alfonso Lista (Potia),33
594,Asipulo,"Asipulo, Ifugao",Asipulo,33
595,Banaue,"Banaue, Ifugao",Banaue,33
596,Hingyon,"Hingyon, Ifugao",Hingyon,33
597,Hungduan,"Hungduan, Ifugao",Hungduan,33
598,Kiangan,"Kiangan, Ifugao",Kiangan,33
599,Lagawe,"Lagawe, Ifugao",Lagawe,33
600,Lamut,"Lamut, Ifugao",Lamut,33
601,Mayoyao,"Mayoyao, Ifugao",Mayoyao,33
602,Tinoc,"Tinoc, Ifugao",Tinoc,33
187,Atok,"Atok, Benguet",Atok,13
188,Baguio,"Baguio, Benguet",Baguio,13
189,Bakun,"Bakun, Benguet",Bakun,13
190,Bokod,"Bokod, Benguet",Bokod,13
191,Buguias,"Buguias, Benguet",Buguias,13
192,Itogon,"Itogon, Benguet",Itogon,13
193,Kabayan,"Kabayan, Benguet",Kabayan,13
194,Kapangan,"Kapangan, Benguet",Kapangan,13
195,Kibungan,"Kibungan, Benguet",Kibungan,13
196,La Trinidad,"La Trinidad, Benguet",La Trinidad,13
197,Mankayan,"Mankayan, Benguet",Mankayan,13
198,Sablan,"Sablan, Benguet",Sablan,13
199,Tuba,"Tuba, Benguet",Tuba,13
200,Tublay,"Tublay, Benguet",Tublay,13
1,Bangued,"Bangued, Abra",Bangued,1
2,Boliney,"Boliney, Abra",Boliney,1
3,Bucay,"Bucay, Abra",Bucay,1
4,Bucloc,"Bucloc, Abra",Bucloc,1
5,Daguioman,"Daguioman, Abra",Daguioman,1
6,Danglas,"Danglas, Abra",Danglas,1
7,Dolores,"Dolores, Abra",Dolores,1
8,La Paz,"La Paz, Abra",La Paz,1
9,Lacub,"Lacub, Abra",Lacub,1
10,Lagangilang,"Lagangilang, Abra",Lagangilang,1
11,Lagayan,"Lagayan, Abra",Lagayan,1
12,Langiden,"Langiden, Abra",Langiden,1
13,Licuan-Baay (Licuan),"Licuan-Baay (Licuan), Abra",Licuan-Baay (Licuan),1
14,Luba,"Luba, Abra",Luba,1
15,Malibcong,"Malibcong, Abra",Malibcong,1
16,Manabo,"Manabo, Abra",Manabo,1
17,Peñarrubia,"Peñarrubia, Abra",Peñarrubia,1
18,Pidigan,"Pidigan, Abra",Pidigan,1
19,Pilar,"Pilar, Abra",Pilar,1
20,Sallapadan,"Sallapadan, Abra",Sallapadan,1
21,San Isidro,"San Isidro, Abra",San Isidro,1
22,San Juan,"San Juan, Abra",San Juan,1
23,San Quintin,"San Quintin, Abra",San Quintin,1
24,Tayum,"Tayum, Abra",Tayum,1
25,Tineg,"Tineg, Abra",Tineg,1
26,Tubo,"Tubo, Abra",Tubo,1
27,Villaviciosa,"Villaviciosa, Abra",Villaviciosa,1
107,Calanasan,"Calanasan, Apayao",Calanasan,7
108,Conner,"Conner, Apayao",Conner,7
109,Flora,"Flora, Apayao",Flora,7
110,Kabugao,"Kabugao, Apayao",Kabugao,7
111,Luna,"Luna, Apayao",Luna,7
112,Pudtol,"Pudtol, Apayao",Pudtol,7
113,Santa Marcela,"Santa Marcela, Apayao",Santa Marcela,7
741,Balbalan,"Balbalan, Kalinga",Balbalan,38
742,Lubuagan,"Lubuagan, Kalinga",Lubuagan,38
743,Pasil,"Pasil, Kalinga",Pasil,38
744,Pinukpuk,"Pinukpuk, Kalinga",Pinukpuk,38
745,Rizal (Liwan),"Rizal (Liwan), Kalinga",Rizal (Liwan),38
746,Tabuk,"Tabuk, Kalinga",Tabuk,38
747,Tanudan,"Tanudan, Kalinga",Tanudan,38
748,Tinglayan,"Tinglayan, Kalinga",Tinglayan,38
749,Agoo,"Agoo, La Union",Agoo,39
750,Aringay,"Aringay, La Union",Aringay,39
751,Bacnotan,"Bacnotan, La Union",Bacnotan,39
752,Bagulin,"Bagulin, La Union",Bagulin,39
753,Balaoan,"Balaoan, La Union",Balaoan,39
754,Bangar,"Bangar, La Union",Bangar,39
755,Bauang,"Bauang, La Union",Bauang,39
756,Burgos,"Burgos, La Union",Burgos,39
757,Caba,"Caba, La Union",Caba,39
