"operating_unit_id","prexc_program_id"
"1","1"
"1","2"
"1","3"
"1","5"
"1","7"
"1","8"
"1","9"
"1","10"
"1","11"
"1","12"
"1","13"
"1","14"
"1","22"
"1","25"
"1","27"
"1","29"
"2","1"
"2","5"
"2","11"
"2","12"
"2","14"
"2","22"
"2","27"
"2","29"
"3","1"
"3","2"
"3","5"
"3","11"
"3","12"
"3","14"
"3","22"
"3","27"
"3","29"
"4","1"
"4","2"
"4","5"
"4","11"
"4","12"
"4","14"
"4","22"
"4","27"
"4","29"
"5","1"
"5","2"
"5","5"
"5","11"
"5","12"
"5","14"
"5","22"
"5","27"
"5","29"
"6","1"
"6","2"
"6","5"
"6","11"
"6","12"
"6","14"
"6","22"
"6","25"
"6","27"
"6","29"
"7","1"
"7","2"
"7","5"
"7","11"
"7","12"
"7","14"
"7","22"
"7","27"
"7","29"
"8","1"
"8","2"
"8","5"
"8","11"
"8","12"
"8","14"
"8","22"
"8","27"
"8","29"
"9","1"
"9","2"
"9","5"
"9","11"
"9","12"
"9","14"
"9","22"
"9","27"
"9","29"
"10","1"
"10","2"
"10","5"
"10","11"
"10","12"
"10","14"
"10","22"
"10","27"
"10","29"
"11","1"
"11","5"
"11","11"
"11","12"
"11","14"
"11","22"
"11","27"
"11","29"
"12","1"
"12","2"
"12","5"
"12","11"
"12","12"
"12","14"
"12","22"
"12","27"
"12","29"
"13","1"
"13","2"
"13","5"
"13","11"
"13","12"
"13","14"
"13","22"
"13","27"
"13","29"
"14","1"
"14","2"
"14","5"
"14","11"
"14","12"
"14","14"
"14","22"
"14","27"
"14","29"
"15","1"
"15","2"
"15","5"
"15","11"
"15","12"
"15","14"
"15","22"
"15","27"
"15","29"
"16","1"
"16","5"
"16","11"
"16","12"
"16","14"
"16","22"
"16","27"
"16","29"
"17","29"
"18","1"
"18","2"
"18","3"
"18","14"
"18","29"
"19","1"
"19","2"
"19","3"
"19","14"
"19","22"
"19","27"
"19","29"
"20","1"
"20","3"
"20","6"
"20","14"
"20","29"
"21","1"
"21","2"
"21","3"
"21","14"
"21","27"
"21","29"
"22","1"
"22","2"
"22","3"
"22","4"
"22","14"
"22","22"
"22","29"
"23","1"
"23","3"
"23","29"
"24","1"
"24","3"
"24","15"
"24","29"
"25","1"
"25","3"
"25","16"
"25","23"
"25","26"
"25","28"
"25","29"
"26","1"
"26","3"
"26","29"
"27","1"
"27","3"
"27","16"
"27","26"
"27","29"
"27","41"
"28","1"
"28","3"
"28","17"
"28","29"
"28","30"
"29","1"
"29","3"
"29","14"
"29","29"
"30","1"
"30","3"
"30","18"
"30","29"
"31","1"
"31","3"
"31","19"
"31","29"
"32","1"
"32","3"
"32","21"
"32","29"
"33","1"
"33","3"
"33","19"
"33","20"
"33","24"
"33","29"
"34","1"
"34","3"
"34","29"
"34","31"
"34","40"
"35","1"
"35","3"
"35","29"
"35","32"
"36","1"
"36","3"
"36","29"
"36","33"
"37","1"
"37","3"
"37","29"
"37","34"
"37","35"
"38","1"
"38","3"
"38","29"
"38","36"
"39","1"
"39","3"
"39","29"
"39","37"
"40","1"
"40","3"
"40","29"
"40","38"
"41","1"
"41","3"
"41","29"
"41","39"
"42","29"
"43","29"
"44","29"
"45","29"
"46","29"
"47","29"
"48","29"
"49","29"
"50","29"
"51","3"
"51","29"
"52","29"
"53","29"
"54","1"
"54","3"
"54","29"
"55","3"
"55","29"
"56","3"
"56","29"
"57","3"
"57","9"
"57","29"
"58","29"
"59","7"
"59","29"
"60","29"
"61","29"
"62","29"
