name,operating_unit_id,prexc_program_id,prexc_subprogram_id,uacs_code
"Abaca Fiber Production (San Jose; Lauan, Antique)",33,19,19,3.101E+14
Agdao Farmers' Market,14,29,34,3.105E+14
Agri-business and marketing services,1,9,13,2E+14
Agri-business and marketing services,16,9,13,2E+14
Agricultural Competitiveness Enhancement Fund,1,29,34,3.105E+14
Agriculture and fishery standards,1,27,60,3.104E+14
Agro-Industry Modernization Credit and Financing Program (AMCFP) Administration,24,15,18,3.101E+14
Animal Genetic Resource Conservation and Utilization,30,18,33,3.101E+14
Carabao-Based Enterprise Development,30,18,29,3.101E+14
Coastal and inland fisheries resource management,25,23,54,3.102E+14
"Construction of Small Water Impounding Project, Paoay, Ilocos Norte",3,29,34,3.105E+14
"Construction of Solar Drier with Warehouse, Brgy. Isidro, Quezon, Bukidnon",13,29,34,3.105E+14
"Construction of Solar Drier with Warehouse, Brgy. Minsamongan, Quezon, Bukidnon",13,29,34,3.105E+14
Coordination of agricultural research (BAR),20,6,7,2E+14
Cotton Development Project,33,19,19,3.101E+14
Development and Coordination of Agriculture and Fishery Policies,32,21,24,3.101E+14
"Development of organizational policies, plans and procedures",1,5,5,2E+14
"Development of organizational policies, plans and procedures",2,5,5,2E+14
"Development of organizational policies, plans and procedures",3,5,5,2E+14
"Development of organizational policies, plans and procedures",4,5,5,2E+14
"Development of organizational policies, plans and procedures",5,5,5,2E+14
"Development of organizational policies, plans and procedures",6,5,5,2E+14
"Development of organizational policies, plans and procedures",7,5,5,2E+14
"Development of organizational policies, plans and procedures",12,5,5,2E+14
"Development of organizational policies, plans and procedures",8,5,5,2E+14
"Development of organizational policies, plans and procedures",9,5,5,2E+14
"Development of organizational policies, plans and procedures",10,5,5,2E+14
"Development of organizational policies, plans and procedures",11,5,5,2E+14
"Development of organizational policies, plans and procedures",13,5,5,2E+14
"Development of organizational policies, plans and procedures",14,5,5,2E+14
"Development of organizational policies, plans and procedures",15,5,5,2E+14
"Development of organizational policies, plans and procedures",16,5,5,2E+14
"Development of organizational policies, plans and procedures",25,3,5,2E+14
"Development of organizational policies, plans and procedures",27,3,5,2E+14
ESETS on the Halal Food Industry Development Program,18,14,41,3.10103E+14
ESETS on the Halal Food Industry Development Program,1,14,41,3.10103E+14
ESETS on the Halal Food Industry Development Program,2,14,41,3.10103E+14
ESETS on the Halal Food Industry Development Program,6,14,41,3.10103E+14
ESETS on the Halal Food Industry Development Program,10,14,41,3.10103E+14
ESETS on the Halal Food Industry Development Program,15,14,41,3.10103E+14
ESETS on the National Corn Program,18,14,41,3.10103E+14
ESETS on the National Corn Program,22,14,41,3.10103E+14
ESETS on the National Corn Program,1,14,41,3.10103E+14
ESETS on the National Corn Program,2,14,41,3.10103E+14
ESETS on the National Corn Program,3,14,41,3.10103E+14
ESETS on the National Corn Program,4,14,41,3.10103E+14
ESETS on the National Corn Program,5,14,41,3.10103E+14
ESETS on the National Corn Program,6,14,41,3.10103E+14
ESETS on the National Corn Program,7,14,41,3.10103E+14
ESETS on the National Corn Program,12,14,41,3.10103E+14
ESETS on the National Corn Program,8,14,41,3.10103E+14
ESETS on the National Corn Program,9,14,41,3.10103E+14
ESETS on the National Corn Program,10,14,41,3.10103E+14
ESETS on the National Corn Program,11,14,41,3.10103E+14
ESETS on the National Corn Program,13,14,41,3.10103E+14
ESETS on the National Corn Program,14,14,41,3.10103E+14
ESETS on the National Corn Program,15,14,41,3.10103E+14
ESETS on the National Corn Program,16,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,18,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,21,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,1,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,2,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,3,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,4,14,41,3.10103E+14
ESETS on the National High-Value Crops Development Program,5,14,41,3.10103E+14
